outbreakId,reportId,diseaseName,diseaseType,startDate,endDate,totalCases,locationName,species,animalCategoryLabel,latitude,longitude,animalCategory
81528,3530,H5N8 (HPAI),,1/01/2021,21/12/2023,0,Dolasa Revenue Area,Birds,Domestic,20.793232,70.855979,domestic
148183,6217,H5N1 (HPAI non. Plt),,17/01/2025,,13,"Nehdai, Mohangarh ",Anthropoides virgo,Wild,27.284411,71.133905,wild
148182,6217,H5N1 (HPAI non. Plt),,11/01/2025,,7,"Chordia Pond, Lakhmana (Fathehgarh) ",Anthropoides virgo,Wild,26.619528,71.251165,wild
90628,3934,empty strain - H5N1 (HPAI),,21/01/2021,21/12/2023,24,Gundrana,Birds,Domestic,21.2585,71.8883,domestic
46463,2153,H5N1 (HPAI),,2/01/2017,6/06/2017,2,"Memnagar Rescue Center, Servadharam",Birds,Domestic,23.01,72.34,domestic
46173,2153,H5N1 (HPAI),,22/12/2016,6/06/2017,25,Asha Foundation,Birds,Domestic,22.56,72.39,domestic
148181,6217,H5N1 (HPAI non. Plt),,15/12/2024,,14,Khichan,Anthropoides virgo,Wild,27.13818,72.416834,wild
90634,3934,empty strain - H5N1 (HPAI),,20/02/2021,21/12/2023,86,"Sola, Ahmedabad",Birds,Domestic,23.0757,72.509,domestic
46464,2153,H5N1 (HPAI),,31/12/2016,6/06/2017,5,"Mirasoli Resort, Devka",Birds,Domestic,20.27,72.51,domestic
98002,4331,empty strain - H5N1 (HPAI),,10/02/2022,8/02/2023,549,Agashi(Arnala) ,Birds,Domestic,19.45003,72.755918,domestic
90312,3496,empty strain - H5N1 (HPAI),,20/02/2021,8/02/2023,401,IPDB Palghar,Birds,Domestic,19.6892,72.7661,domestic
98004,4331,empty strain - H5N1 (HPAI),,10/02/2022,8/02/2023,518,Vatar,Birds,Domestic,19.44189,72.77522,domestic
126636x,5289x,H5N1 (HPAI non. Plt),,5/09/2023,24/10/2023,611,"Gorai, Borivali Mumbai","Cygnus atratus, Lophura nycthemera",Wild,19.23362,72.80541,wild
1824,100,H5N1 (HPAI),,27/01/2006,27/04/2006,,Uchchal,Birds,Domestic,21.21531,72.82258,domestic
90327,3496,empty strain - H5N1 (HPAI),,12/01/2021,8/02/2023,706,"Central Poultry Development Organisation, Aarey Colony, Goregaon",Birds,Domestic,19.142,72.8768,domestic
150103,6250,empty strain - H5N1 (HPAI),,8/01/2025,,2,"12, Banglow Vasahat, Kopri, Thane",Birds,Domestic,19.181119,72.970814,domestic
90418,3496,empty strain - H5N1 (HPAI),,29/01/2021,8/02/2023,0,"Ghansoli, Rabale",Birds,Domestic,19.1292,73.0013,domestic
90112,3496,empty strain - H5N1 (HPAI),,29/01/2021,8/02/2023,2,Mhape NMMNC,Birds,Domestic,19.1178,73.0175,domestic
150104,6250,empty strain - H5N1 (HPAI),,12/01/2025,,80,Chiner Tal-Uran,Birds,Domestic,18.872904,73.050858,domestic
90075,3496,empty strain - H5N1 (HPAI),,11/01/2021,8/02/2023,281,"IPDB, Pen",Birds,Domestic,18.7375,73.0944,domestic
46220,2156,H5N8 (HPAI non. Plt),,5/12/2016,6/06/2017,2,Wadhawana Lake,Anser anser,Wild,22.17,73.1,wild
90085,3496,empty strain - H5N1 (HPAI),,15/01/2021,8/02/2023,4,Atali,Birds,Domestic,19.16,73.1018,domestic
90087,3496,empty strain - H5N1 (HPAI),,15/01/2021,8/02/2023,41,Rayate,Birds,Domestic,19.1529,73.1336,domestic
154315,6250,H5N1 (HPAI),,24/01/2025,,270,Khandavi,Birds,Domestic,19.352197,73.236091,domestic
98001,4331,empty strain - H5N1 (HPAI),,2/02/2022,8/02/2023,309,"Vehloli, Vashind",Birds,Domestic,19.41684,73.29618,domestic
90297,3496,empty strain - H5N1 (HPAI),,11/02/2021,8/02/2023,443,Pashane,Birds,Domestic,19.4521,73.328,domestic
144559,5685,H5N1 (HPAI),,25/05/2024,19/05/2025,1428,"Ward-9, Muhamma, Muhamma Panchayat, Alappuzha",Birds,Domestic,9.599141,73.35989,domestic
92866,4096,H5N1 (HPAI non. Plt),,6/11/2021,21/07/2023,245,Kaparda,Anthropoides virgo,Wild,26.239009,73.436642,wild
90069,3496,empty strain - H5N1 (HPAI),,11/01/2021,8/02/2023,60,Chande/ Mulshi,Birds,Domestic,18.505,73.5181,domestic
90148,3496,empty strain - H5N1 (HPAI),,2/02/2021,8/02/2023,15,"Dhayari, Mawal",Birds,Domestic,18.7842,73.5571,domestic
90104,3496,empty strain - H5N1 (HPAI),,23/01/2021,8/02/2023,135,"Salumbre, Mawal",Birds,Domestic,18.6568,73.6988,domestic
90631,3934,empty strain - H5N1 (HPAI),,13/02/2021,21/12/2023,0,"National Poultry Farm, Uchchhal",Birds,Domestic,21.1714,73.7412,domestic
1823,100,H5N1 (HPAI),,27/01/2006,27/04/2006,,Navapur,Birds,Domestic,21.16265,73.79065,domestic
90111,3496,empty strain - H5N1 (HPAI),,23/01/2021,8/02/2023,250,"Gandhinagar Survey No. 62 Wathoda, Balgan",Birds,Domestic,20.6901,73.9475,domestic
90082,3496,empty strain - H5N1 (HPAI),,15/01/2021,8/02/2023,60,Mariaichi Wadi/ Khandala,Birds,Domestic,18.0356,74.0125,domestic
90858,3955,empty strain - H5N8 (HPAI),,28/02/2021,21/12/2023,3,Rafiabad,Birds,Domestic,34.3171,74.2594,domestic
90857,3955,empty strain - H5N8 (HPAI),,4/02/2021,21/12/2023,2,Baramulla,Birds,Domestic,34.21,74.3404,domestic
90864,3955,empty strain - H5N8 (HPAI),,15/03/2021,21/12/2023,0,"Sheeri, Dangerpora",Birds,Domestic,34.1097,74.3719,domestic
90105,3496,empty strain - H5N1 (HPAI),,23/01/2021,8/02/2023,10,Shinodi Survey No. 203 Sangammer,Birds,Domestic,19.327,74.374,domestic
80549,3497,H5N1 (HPAI),,6/01/2021,21/12/2023,127,Rundipada,Birds,Domestic,23.009,74.56,domestic
90810,3955,empty strain - H5N8 (HPAI),,3/02/2021,21/12/2023,567,S K Payeen,Birds,Domestic,34.4,74.6,domestic
90070,3496,empty strain - H5N1 (HPAI),,11/01/2021,8/02/2023,60,Mauje Baribe,Birds,Domestic,18.407,74.6738,domestic
90106,3496,empty strain - H5N1 (HPAI),,23/01/2021,8/02/2023,5,Sade Survey No. 360/1,Birds,Domestic,19.3288,74.6904,domestic
90862,3955,empty strain - H5N8 (HPAI),,5/03/2021,21/12/2023,1,Balgarden,Birds,Domestic,34.0785,74.7966,domestic
80918,3506,H5N8 (HPAI non. Plt),,27/12/2020,21/07/2023,155,"Tehsil Complex, Mandsaur","Corvus macrorhynchos, Corvus splendens",Wild,24.0758,75.0761,wild
93322,4096,H5N1 (HPAI non. Plt),,18/11/2021,21/07/2023,77,Sambhar Lake,Corvus splendens,Wild,26.907907,75.1873,wild
90807,3955,empty strain - H5N8 (HPAI),,11/01/2021,21/12/2023,3,"Jaganoo, Dhamdal West",Birds,Domestic,32.8656,75.1941,domestic
1854,100,H5N1 (HPAI),,28/03/2006,27/04/2006,,"varad, Paldhi,Parola,Bhadgaon, Erandol,Uttaran",Birds,Domestic,20.67637,75.22644,domestic
90100,3496,empty strain - H5N1 (HPAI),,23/01/2021,8/02/2023,21,Neptagaon,Birds,Domestic,17.6686,75.3197,domestic
90570,3928,empty strain - H5N8 (HPAI),,27/12/2020,21/12/2023,34,Kheda Road,Birds,Domestic,24.0142,75.3528,domestic
11434,582,H3N8 (Equ. Infl),,20/06/2008,9/07/2010,5424,Katra,Equidae (dom),Domestic,32.98,74.95,domestic
11435,582,H3N8 (Equ. Infl),,7/07/2008,9/07/2010,12543,Anantnag,Equidae (dom),Domestic,34.09,74.79,domestic
90101,3496,empty strain - H5N1 (HPAI),,23/01/2021,8/02/2023,8,Ganeshwadi,Birds,Domestic,17.5132,75.415,domestic
1856,100,H5N1 (HPAI),,5/04/2006,27/04/2006,,"Pachora, Mehunbare, Nandra, Parola, Mohida, Muktai nagar, Salbardi, Kamkheda, Sakali, Pimpri, Vitava, Weghari, Nandgaon, Bodarbe",Birds,Domestic,20.6839,75.42118,domestic
